p,d,q,aic,bic,log_likelihood,converged
0,1,1,-1572119.2828820036,-1572099.7042843348,786061.6414410018,True
2,1,1,-1572136.5341581237,-1572097.376962786,786072.2670790618,True
1,1,1,-1571778.8364831214,-1571749.468586618,785892.4182415607,True
4,1,1,-1571069.7778680346,-1571011.0420750282,785540.8889340173,True
5,1,0,-1569201.5611146209,-1569142.8253216145,784606.7805573104,True
3,1,1,-1566816.6409153526,-1566767.6944211805,783413.3204576763,True
4,1,0,-1565507.6119259638,-1565458.6654317917,782758.8059629819,True
3,1,0,-1560433.8106339637,-1560394.653438626,780220.9053169818,True
2,1,0,-1551986.9745569644,-1551957.606660461,775996.4872784822,True
3,2,2,-1543756.3882424138,-1543697.6524949193,771884.1941212069,True
4,2,2,-1542522.7615234908,-1542454.2364847471,771268.3807617454,True
0,2,2,-1539712.922323981,-1539683.554450234,769859.4611619905,True
1,1,0,-1536860.2484047655,-1536840.6698070967,768432.1242023828,True
4,2,1,-1527693.5810011718,-1527634.8452536773,763852.7905005859,True
5,2,0,-1518431.852651446,-1518373.1169039514,759221.926325723,True
1,2,1,-1517409.1362723694,-1517379.7683986223,758707.5681361847,True
2,2,1,-1515213.8093840228,-1515174.6522190266,757610.9046920114,True
3,2,1,-1513521.1398283246,-1513472.1933720792,756765.5699141623,True
4,2,0,-1507667.8397200527,-1507618.8932638073,753838.9198600263,True
5,1,2,-1505290.302429034,-1505211.9880383587,752653.151214517,True
0,1,0,-1498456.7851055847,-1498446.9958067501,749229.3925527923,True
5,1,1,-1498435.6349928924,-1498367.1099010515,749224.8174964462,True
5,2,4,-1494786.8302367416,-1494688.9373242508,747403.4151183708,True
3,2,0,-1492516.3415200287,-1492477.1843550324,746262.1707600143,True
4,2,4,-1491743.0383853186,-1491654.934764077,745880.5191926593,True
4,2,5,-1488064.146183712,-1487966.2532712212,744042.073091856,True
5,2,5,-1486299.7592018694,-1486192.0769981295,743160.8796009347,True
3,2,5,-1479722.412434288,-1479634.3088130464,739870.206217144,True
4,2,3,-1478528.6472020606,-1478450.332872068,739272.3236010303,True
5,2,3,-1477085.817252664,-1476997.7136314223,738551.908626332,True
3,2,3,-1475673.7567525208,-1475605.2317137772,737843.8783762604,True
3,2,4,-1473638.2113305922,-1473559.8970005997,736827.1056652961,True
2,2,0,-1469355.5192380454,-1469326.1513642983,734680.7596190227,True
2,2,4,-1459663.7057052124,-1459595.1806664688,729838.8528526062,True
2,2,2,-1458218.9234727928,-1458169.9770165475,729114.4617363964,True
2,2,3,-1457185.785654627,-1457127.0499071325,728598.8928273135,True
2,2,5,-1454308.2082482632,-1454229.8939182707,727162.1041241316,True
5,2,2,-1441175.7153889854,-1441097.4010589928,720595.8576944927,True
1,2,0,-1431758.431524498,-1431738.8529419997,715881.215762249,True
1,2,4,-1431158.4701876128,-1431099.7344401183,715585.2350938064,True
1,2,3,-1431076.3579354475,-1431027.411479202,715543.1789677237,True
1,2,5,-1428772.2180851605,-1428703.6930464169,714393.1090425802,True
1,2,2,-1417853.0126508214,-1417813.855485825,708930.5063254107,True
5,2,1,-1392448.5966077219,-1392380.0715689783,696231.2983038609,True
0,2,0,-1353373.250219296,-1353363.4609280468,676687.625109648,True
0,2,1,-1353370.008693883,-1353350.4301113847,676687.0043469415,True
0,2,3,-1353373.1999288083,-1353334.042763812,676690.5999644041,True
0,2,4,-1353376.7546961494,-1353327.808239904,676693.3773480747,True
0,2,5,-1353372.5419128323,-1353313.8061653378,676692.2709564161,True
